kepid,koi_smet,koi_smet_err1,koi_smet_err2,koi_smass,koi_smass_err1,koi_smass_err2
10797460,0.14,0.15,-0.15,0.919,0.052,-0.046
10797460,0.14,0.15,-0.15,0.919,0.052,-0.046
10811496,-0.18,0.3,-0.3,0.961,0.11,-0.121
10848459,-0.52,0.3,-0.3,0.836,0.093,-0.077
10854555,0.07,0.25,-0.3,1.095,0.151,-0.136
10872983,-0.08,0.25,-0.3,1.053,0.135,-0.15
10872983,-0.08,0.25,-0.3,1.053,0.135,-0.15
10872983,-0.08,0.25,-0.3,1.053,0.135,-0.15
6721123,0,0.15,-0.15,1.358,0.121,-0.207
10910878,0.16,0.15,-0.15,0.801,0.052,-0.03
11446443,-0.06,0.15,-0.15,0.971,0.062,-0.056
10666592,0.14,0.15,-0.15,1.449,0.07,-0.091
6922244,-0.04,0.15,-0.15,1.132,0.108,-0.078
10984090,-0.04,0.15,-0.15,0.974,0.066,-0.066
10419211,-0.2,0.25,-0.3,0.938,0.098,-0.109
10464078,-0.54,0.35,-0.3,0.657,0.085,-0.036
10480982,-0.22,0.25,-0.35,1.025,0.139,-0.139
10485250,-0.2,0.3,-0.3,0.741,0.106,-0.057
10526549,-0.3,0.3,-0.3,0.676,0.088,-0.047
10583066,0.21,0.2,-0.3,0.761,0.033,-0.067
10583180,0.1,0.25,-0.3,0.781,0.078,-0.056
10601284,0.16,0.15,-0.15,0.831,0.058,-0.032
10601284,0.16,0.15,-0.15,0.831,0.058,-0.032
10601284,0.16,0.15,-0.15,0.831,0.058,-0.032
2306756,0.44,0.101,-0.101,1.103,0.097,-0.097
10662202,0.18,0.15,-0.15,0.791,0.05,-0.029
10682541,0.18,0.2,-0.3,0.931,0.063,-0.094
11460018,-0.14,0.3,-0.3,0.928,0.094,-0.115
11463211,-0.2,0.3,-0.3,0.926,0.09,-0.11
11465813,0.48,0.05,-0.15,1.03,0.042,-0.058
11493732,0,0.25,-0.3,1.093,0.166,-0.135
11507101,0.16,0.15,-0.15,0.915,0.061,-0.042
10910878,0.16,0.15,-0.15,0.801,0.052,-0.03
10910878,0.16,0.15,-0.15,0.801,0.052,-0.03
10987985,0.1,0.25,-0.25,0.785,0.085,-0.056
11018648,-0.3,0.3,-0.3,0.844,0.097,-0.078
11018648,-0.3,0.3,-0.3,0.844,0.097,-0.078
11138155,0.1,0.15,-0.15,0.976,0.073,-0.055
11152159,-0.04,0.3,-0.3,0.889,0.102,-0.083
11153539,-0.12,0.25,-0.35,1.048,0.139,-0.139
11242721,-0.12,0.3,-0.3,1.014,0.153,-0.126
9579641,-0.06,0.15,-0.15,0.941,0.074,-0.054
11304958,0.22,0.2,-0.3,0.93,0.092,-0.074
11391957,-0.28,0.3,-0.3,0.862,0.089,-0.097
11403044,0.1,0.2,-0.3,1.162,0.158,-0.158
11414511,0.14,0.15,-0.15,0.941,0.053,-0.047
11442465,-0.24,0.3,-0.3,0.782,0.063,-0.087
12110942,-0.06,0.3,-0.3,1.01,0.116,-0.139
12366084,0.16,0.15,-0.15,1.007,0.056,-0.062
12366084,0.16,0.15,-0.15,1.007,0.056,-0.062
12404086,0.02,0.25,-0.3,0.846,0.064,-0.088
8395660,-0.12,0.15,-0.15,0.951,0.07,-0.063
9579641,-0.06,0.15,-0.15,0.941,0.074,-0.054
11656840,-0.3,0.3,-0.3,0.981,0.128,-0.128
11754553,0.04,0.15,-0.15,0.633,0.029,-0.035
11754553,0.04,0.15,-0.15,0.633,0.029,-0.035
11754553,0.04,0.15,-0.15,0.633,0.029,-0.035
11812062,-0.1,0.3,-0.3,0.907,0.074,-0.102
11818800,-0.54,0.35,-0.3,0.714,0.104,-0.037
11853255,-0.32,0.15,-0.15,0.578,0.027,-0.037
11909839,-0.54,0.3,-0.3,0.77,0.118,-0.047
11918099,0.14,0.15,-0.15,0.85,0.025,-0.054
11918099,0.14,0.15,-0.15,0.85,0.025,-0.054
9579641,-0.06,0.15,-0.15,0.941,0.074,-0.054
11923270,0,0.15,-0.15,0.503,0.035,-0.053
11960862,-0.32,0.3,-0.3,0.927,0.129,-0.097
12020329,0.21,0.2,-0.3,0.986,0.065,-0.115
12066335,-0.24,0.15,-0.15,0.576,0.031,-0.035
12066335,-0.24,0.15,-0.15,0.576,0.031,-0.035
12070811,-0.4,0.3,-0.3,0.832,0.08,-0.089
8395660,-0.12,0.15,-0.15,0.951,0.07,-0.063
3120431,-0.02,0.3,-0.3,0.853,0.078,-0.078
3246984,-0.18,0.3,-0.3,0.889,0.12,-0.09
3342970,0.07,0.25,-0.3,1.169,0.141,-0.173
3342970,0.07,0.25,-0.3,1.169,0.141,-0.173
12459725,-0.1,0.24,-0.26,0.975,0.098,-0.109
12470844,-0.08,0.3,-0.3,0.884,0.061,-0.113
12470844,-0.08,0.3,-0.3,0.884,0.061,-0.113
12644822,-0.02,0.25,-0.3,0.992,0.112,-0.112
2440757,0.02,0.15,-0.15,1.083,0.1,-0.082
2445129,0.07,0.25,-0.3,1.05,0.14,-0.127
2713049,0.14,0.15,-0.15,0.921,0.067,-0.038
3114167,-0.84,0.3,-0.3,0.767,0.058,-0.071
3114661,-0.72,0.3,-0.3,0.709,0.06,-0.06
3115833,-0.52,0.3,-0.3,0.885,0.099,-0.099
4139816,-0.46,0.15,-0.15,0.502,0.031,-0.038
4139816,-0.46,0.15,-0.15,0.502,0.031,-0.038
8395660,-0.12,0.15,-0.15,0.951,0.07,-0.063
